PROVINCIA;LOCALIDAD;CEM - CCD - EP;LUGAR DE HALLAZGO;HOJA DE REFERENCIA;Lat;Long;Suma de CASOS;Suma de EXHUMADOS;Suma de ID CON CUERPO;Suma de ID SIN CUERPO;Suma de ID;Suma de NO ID
Catamarca;San Fernando del Valle de Catamarca;CEM;Cementerio Fray Mamerto Esquiú;Catamarca-San_Fernando_del_Valle_de_Catamarca;-28.48348411820645;-65.7734381863223;5;4;2;1;3;2
Chaco;Quitilipi;CEM;Cementerio Jesús Misericordioso;Chaco_Quitilipi;-26.8819192747269;-60.236500992300236;6;6;0;0;0;6
Chaco;Resistencia;CEM;Cementerio San Francisco Solano;Chaco_San_Francisco_de_Solano;-27.455433750849195;-59.00806095786003;2;2;2;0;2;0
Chubut;Villa Futalaufquen;CEM;Cementerio de Villa Futalaufquen;Chubut_Villa_Futalaufquen;-42.90384560246743;-71.29244371362547;1;1;0;0;0;1
Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;CEM;Cementerio de la Chacarita;Buenos_Aires-Chacarita;-34.587608458121245;-58.45617293861763;47;11;5;36;41;6
Córdoba;Cosquín;CEM;Cementerio de Cosquín;Córdoba-Cosquín;-31.238661221007995;-64.47445327455485;2;2;2;0;2;0
Córdoba;Malagueño;CCD;Ex CCD La Perla;Córdoba-CCD_La_Perla-(Malagueño);-31.388743633166914;-64.3977630624337;16;16;16;0;16;0
Córdoba;San Vicente;CEM;Cementerio San Vicente;Córdoba-San_Vicente;-31.41886227618794;-64.1256279568018;88;86;19;2;21;67
Córdoba;Unquillo;EP;Pozo de agua;Córdoba-Unquillo;-31.256919957634718;-64.32718198026457;1;1;0;0;0;1
Corrientes;Empedrado;CEM;Cementerio San Roque;Corrientes-Empedrado;-27.963177853499783;-58.81498044611249;9;9;3;0;3;6
Corrientes;Laguna Brava;CEM;Cementerio San Isidro;Corrientes-Laguna_Brava;-27.7000055742234;-59.01432075166856;2;2;0;0;0;2
Corrientes;Mercedes;CEM;Cementerio La Merced;Corrientes-La_Merced;-29.156140038001837;-58.082818213663266;2;2;1;0;1;1
Corrientes;Paso de los Libres;CEM;Cementerio de la Santa Cruz;Corrientes-Paso_de_los_Libres;-29.725615334627122;-57.09814329073208;1;1;1;0;1;0
Entre Ríos;Gualeguaychú;CEM;Cementerio Norte;Entre_Ríos-Gualeguaychú;-32.99333519409497;-58.53783566631421;2;2;0;0;0;2
Entre Ríos;Paraná;CEM;Cementerio Santísima Trinidad;Entre_Ríos-Paraná;-31.729699139374063;-60.54173822986611;2;2;1;0;1;1
Entre Ríos;Villa Paranacito;CEM;Cementerio de Villa Paranacito;Entre_Ríos-Villa_Paranacito;-33.70676216814401;-58.6358349988252;2;2;0;0;0;2
Jujuy;Yala;CEM;Cementerio de Yala;Jujuy-Yala;-24.12542443618269;-65.39833493211111;9;9;1;0;1;8
La Pampa;Alpachiri;CEM;Cementerio de Alpachiri;La_Pampa-Alpachiri;-37.39368290304952;-63.75850487691997;1;1;1;0;1;0
La Pampa;General Pico;CEM;Cementerio de General Pico;La_Pampa-General_Pico;-35.64380372945112 ;-63.77656997443476;2;2;0;0;0;2
Mendoza;Mendoza;CEM;Cementerio de la ciudad de Mendoza;Mendoza-Mendoza;-32.85726427363029;-68.83684020393319;80;79;2;1;3;77
Misiones;Puerto Esperanza;CEM;Cementerio de Puerto Esperanza;Misiones-Puerto_Esperanza;-26.013754790698965;-54.62896385130831;1;1;0;0;0;1
Misiones;Santa Ana;CEM;Cementerio de Santa Ana;Misiones-Santa_Ana;-27.391018299999985;-55.58103800000001;2;2;0;0;0;2
Paraguay;Luque;CCD;Agrupación Especializada;Paraguay-Agrupación_Especializada;-25.307018002438323;-57.64910220422929;4;4;3;0;3;1
Salta;Salta;CEM;Cementerio de la Santa Cruz;Salta-Salta;-24.79630058278378;-65.39545899895512;3;3;0;0;0;3
San Luis;Ciudad de San Luis;CEM;Cementerio del Rosario;San_Luis-De_la_Toma;-33.308073334367755;-66.35051159999998;1;1;1;0;1;0
Santa Fe;Barrancas;CEM;Cementerio de Barrancas;Santa_Fe-Barrancas;-32.2684427617184;-60.97088848417538;2;2;2;0;2;0
Santa Fe;Campo Andino;CEM;Cementerio San Juan Bautista;Santa_Fe-Andino;-32.65689117208671;-60.85452197432485;1;1;1;0;1;0
Santa Fe;Coronda;CEM;Cementerio de Coronda;Santa_Fe-Coronda;-31.98936727897024;-60.972507418524344;4;4;4;0;4;0
Santa Fe;Fray Luis Beltrán;CEM;Cementerio de la Resurrección;Santa_Fe-Fray_Luis_Beltrán;-32.77579429053389;-60.74538486052946;1;1;0;0;0;1
Santa Fe;Melincué;CEM;Cementerio de Melincué;Santa_Fe-Melincué;-33.6642252843514;-61.471012359816825;2;2;2;0;2;0
Santa Fe;Pavón Arriba;CEM;Cementerio de Pavón Arriba;Santa_Fe-Pavón_Arriba;-33.30255464649875;-60.84061099499515;1;1;1;0;1;0
Santa Fe;Rosario;CEM;Cementerio La Piedad;Santa_Fe-La_Piedad;-32.960959839779704;-60.711452742671376;151;127;27;24;51;100
Santa Fe;San Lorenzo;CEM;Cementerio de San Lorenzo;Santa_Fe-San_Lorenzo;-32.74641022836691;-60.7638643323239;4;4;4;0;4;0
Santa Fe;San Pedro;CCD;Campo Militar San Pedro;Santa_Fe-Campo_San_Pedro;-31.337921222704395;-60.56365508466294;8;8;6;0;6;2
Santa Fe;Santa Fe;CEM;Cementerio Santa Fe de la Vera Cruz;Santa_Fe-Santa_Fe;-31.615745002223143;-60.720260640357864;13;9;9;4;13;0
Santa Fe;Timbúes;CEM;Cementerio Jesús María;Santa_Fe-Timbúes;-32.66025304126341;-60.848063274324666;2;2;1;0;1;1
Santa Fe;Maciel;CEM;Cementerio de Maciel;Santa_Fe-Maciel;-32.460714;-60.912963;1;1;1;0;1;0
Santiago del Estero;Caloj Pozo;EP;Margen del canal de Dios;Santiago_del_Estero-Pozo_Caloj;-28.46618981919787;-63.673363379771565;1;1;0;0;0;1
